,Date,Daily_Visitors,t,t_square,log_visitors,dec,feb,jan,mar,nov,oct,visitors_First_Difference
98,2022-01-07,2662,99,9801,7.8868329989550565,0,0,1,0,0,0,-292.0
99,2022-01-08,2292,100,10000,7.73718007783463,0,0,1,0,0,0,-370.0
100,2022-01-09,2137,101,10201,7.667158255319148,0,0,1,0,0,0,-155.0
101,2022-01-10,3319,102,10404,8.107418811719974,0,0,1,0,0,0,1182.0
102,2022-01-11,3307,103,10609,8.103796712981794,0,0,1,0,0,0,-12.0
103,2022-01-12,3001,104,10816,8.006700845440367,0,0,1,0,0,0,-306.0
104,2022-01-13,2794,105,11025,7.935229539816907,0,0,1,0,0,0,-207.0
105,2022-01-14,2301,106,11236,7.741099090035366,0,0,1,0,0,0,-493.0
106,2022-01-15,2495,107,11449,7.822044008185619,0,0,1,0,0,0,194.0
107,2022-01-16,2343,108,11664,7.759187438507795,0,0,1,0,0,0,-152.0
108,2022-01-17,3398,109,11881,8.130942302231878,0,0,1,0,0,0,1055.0
109,2022-01-18,3184,110,12100,8.065893546964274,0,0,1,0,0,0,-214.0
110,2022-01-19,3565,111,12321,8.178919332848396,0,0,1,0,0,0,381.0
111,2022-01-20,4509,112,12544,8.413830678421084,0,0,1,0,0,0,944.0
112,2022-01-21,3216,113,12769,8.075893630298857,0,0,1,0,0,0,-1293.0
113,2022-01-22,2730,114,12996,7.912056888179006,0,0,1,0,0,0,-486.0
114,2022-01-23,2610,115,13225,7.867105500316739,0,0,1,0,0,0,-120.0
115,2022-01-24,3452,116,13456,8.146709052203319,0,0,1,0,0,0,842.0
116,2022-01-25,3202,117,13689,8.07153089355666,0,0,1,0,0,0,-250.0
117,2022-01-26,2534,118,13924,7.837554360881084,0,0,1,0,0,0,-668.0
118,2022-01-27,2952,119,14161,7.990238185720363,0,0,1,0,0,0,418.0
119,2022-01-28,2751,120,14400,7.919719760924575,0,0,1,0,0,0,-201.0
120,2022-01-29,2351,121,14641,7.762596048540069,0,0,1,0,0,0,-400.0
121,2022-01-30,2459,122,14884,7.807510042216193,0,0,1,0,0,0,108.0
122,2022-01-31,3003,123,15129,8.00736706798333,0,0,1,0,0,0,544.0
123,2022-02-01,2996,124,15376,8.005033344637111,0,1,0,0,0,0,-7.0
124,2022-02-02,2903,125,15625,7.97349996402463,0,1,0,0,0,0,-93.0
125,2022-02-03,3225,126,15876,8.078688229229872,0,1,0,0,0,0,322.0
126,2022-02-04,2639,127,16129,7.878155336503324,0,1,0,0,0,0,-586.0
127,2022-02-05,2321,128,16384,7.749753406274437,0,1,0,0,0,0,-318.0
128,2022-02-06,1979,129,16641,7.590346945602565,0,1,0,0,0,0,-342.0
129,2022-02-07,2904,130,16900,7.973844375944687,0,1,0,0,0,0,925.0
130,2022-02-08,2999,131,17161,8.00603417874901,0,1,0,0,0,0,95.0
131,2022-02-09,2790,132,17424,7.933796874815411,0,1,0,0,0,0,-209.0
132,2022-02-10,2642,133,17689,7.879291485082271,0,1,0,0,0,0,-148.0
133,2022-02-11,2484,134,17956,7.81762544305337,0,1,0,0,0,0,-158.0
134,2022-02-12,2152,135,18225,7.674152921281675,0,1,0,0,0,0,-332.0
135,2022-02-13,2017,136,18496,7.6093665379542115,0,1,0,0,0,0,-135.0
136,2022-02-14,2789,137,18769,7.933438387627489,0,1,0,0,0,0,772.0
137,2022-02-15,2820,138,19044,7.944492163932159,0,1,0,0,0,0,31.0
138,2022-02-16,2968,139,19321,7.995643604287271,0,1,0,0,0,0,148.0
139,2022-02-17,2876,140,19600,7.964155718840937,0,1,0,0,0,0,-92.0
140,2022-02-18,2594,141,19881,7.860956364876389,0,1,0,0,0,0,-282.0
141,2022-02-19,2370,142,20164,7.7706452341291765,0,1,0,0,0,0,-224.0
142,2022-02-20,2167,143,20449,7.681099001536359,0,1,0,0,0,0,-203.0
143,2022-02-21,3616,144,20736,8.193123721512068,0,1,0,0,0,0,1449.0
144,2022-02-22,6407,145,21025,8.765146421639022,0,1,0,0,0,0,2791.0
145,2022-02-23,4751,146,21316,8.46611040118692,0,1,0,0,0,0,-1656.0
146,2022-02-24,4961,147,21609,8.509362612301048,0,1,0,0,0,0,210.0
147,2022-02-25,3860,148,21904,8.258422462458876,0,1,0,0,0,0,-1101.0
148,2022-02-26,4210,149,22201,8.345217926676428,0,1,0,0,0,0,350.0
149,2022-02-27,3699,150,22500,8.215817791832453,0,1,0,0,0,0,-511.0
150,2022-02-28,7165,151,22801,8.876963340262272,0,1,0,0,0,0,3466.0
151,2022-03-01,4687,152,23104,8.452547997922705,0,0,0,1,0,0,-2478.0
